,,LAS PALMERAS GROUPALMERAS S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Registro de cierre de ventas diarias por local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FORMAS DE PAGO,,,,,,,,,GASTOS,,,,,,,,,,,,,,CORTESIAS,,,,,
Local,Fecha,"Venta 
Total",Datafast,Medianet,Uber,Pedidos Ya,Rappic,Cheques,Transferencias,Retenciones,Efectivo,Compras,"Pago 
D¡as Libres",Eventuales,Sueldos,Anticipos,Prestamos,Transporte,C. Empleados,Mantenimientos,Otros,Total Gastos,"Deposito
1","Deposito
2","Diferencia 
en depositos",Empleados,Gerencia,Cumplea¤eros,Promociones,"Total 
Cortesias",POR
8,06-03-22,1100.97,43.05,335.53,120.35,68.59,,,,,533.45,8.54,,,457.91,,,17.00,,,50.00,533.45,,,0.00,,,,148.80,148.80,SDS
8,07-03-22,355.50,,172.15,7.45,5.48,,,,,170.42,,20.00,,114.96,,,,,,,134.96,35.46,,0.00,,,,136.20,136.20,SDS
8,08-03-22,553.78,,180.72,40.35,12.91,,,,,319.80,,,,,,,,,,,0.00,319.80,,0.00,,,,126.60,126.60,SDS
8,09-03-22,338.86,,167.77,,5.48,10.97,,,,154.64,,20.00,,,,,,,,,20.00,134.64,,0.00,,,,102.20,102.20,SDS
8,10-03-22,442.73,,234.99,51.57,14.58,,,,,141.59,,20.00,,,,,5.00,,,,25.00,116.59,,0.00,,,,71.00,71.00,SDS
12,01-03-22,1438.29,281.65,326.13,51.39,95.77,89.61,,,,593.74,21.57,,,,,,,,,,21.57,572.17,,0.00,,,,202.20,202.20,SDS
12,02-03-22,529.73,102.41,144.76,62.38,26.74,,,,,193.44,4.70,,,,,,,,,,4.70,188.74,,0.00,,40.85,,110.80,151.65,SDS
12,03-03-22,368.52,89.95,72.20,12.24,10.97,,,,,183.16,,,,,,,,,,,0.00,183.16,,0.00,,,,47.60,47.60,SDS
12,04-03-22,489.94,70.65,185.20,,6.95,35.83,,,,191.31,,,,,8.73,,10.00,,37.50,,56.23,135.08,,0.00,,6.80,,98.20,105.00,SDS
12,05-03-22,1240.65,200.02,364.35,,131.07,,,,,545.21,,,,545.21,,,,,,,545.21,,,0.00,,,,152.60,152.60,SDS
12,06-03-22,1685.02,400.24,424.30,131.23,120.41,68.51,,,,540.33,,,,313.57,,,51.35,,,,364.92,175.41,,0.00,,,,238.20,238.20,SDS
12,07-03-22,312.41,62.03,35.09,,,,,,,215.29,,,,,,,,,,,0.00,202.47,12.82,0.00,,,,92.40,92.40,SDS
12,08-03-22,920.90,212.33,134.17,44.69,78.88,35.88,,,,414.95,,25.00,,,90.00,,,,,,115.00,299.95,,0.00,,,,123.40,123.40,SDS
12,09-03-22,555.28,130.23,109.73,,10.19,,,,,305.13,,,,,,,,,,,0.00,304.47,,0.66,,,,87.60,87.60,SDS
12,10-03-22,463.80,193.41,39.75,,18.75,,,,,211.89,,,,,,,,,,,0.00,211.89,,0.00,,,,80.40,80.40,SDS
7,01-03-22,3326.13,287.88,1592.31,281.90,113.24,23.59,,,,1027.21,15.87,40.00,210.00,,30.00,,,,,,295.87,731.34,,0.00,,,,,0.00,SDS
7,02-03-22,878.64,81.11,162.27,54.18,16.93,8.37,,,,555.78,,20.00,20.00,,,,,,,,40.00,515.78,,0.00,,,,,0.00,SDS
7,03-03-22,932.05,,319.91,8.62,32.31,,,,,571.21,,,20.00,,,,,,36.00,,56.00,515.21,,0.00,,,,,0.00,SDS
7,04-03-22,1234.65,153.69,418.74,23.96,,,,,,638.26,,,,,,,,,,,0.00,638.26,,0.00,,,,,0.00,SDS
7,05-03-22,3324.72,161.89,1469.40,106.27,56.71,46.33,,,,1484.12,7.07,,,1477.05,,,,,,,1484.12,,,0.00,,,,,0.00,SDS
7,06-03-22,3307.21,300.24,1481.02,114.63,152.09,37.94,,,,1221.29,,,160.00,730.56,,,,,,,890.56,330.73,,0.00,,,,,0.00,SDS
7,07-03-22,1264.96,67.86,332.78,32.79,9.98,23.72,,,,797.83,,,,,60.00,727.71,,,10.12,,797.83,,,0.00,,,,,0.00,SDS
7,08-03-22,1857.08,136.96,614.66,70.39,13.42,,,,,1021.65,24.42,,20.00,,,,,,,5.86,50.28,971.37,,0.00,,,,,0.00,SDS
7,09-03-22,1267.10,4.98,497.80,24.39,39.10,,,,,700.83,,,40.00,,30.00,,,,,,70.00,630.83,,0.00,,,,,0.00,SDS
7,10-03-22,1401.04,92.61,526.86,55.89,31.42,21.17,,,,673.09,,,,,,,,,,20.00,20.00,653.09,,0.00,,,,,0.00,SDS
13,11-03-22,908.15,,406.90,152.29,11.93,15.34,,,,321.69,,,,,,,25.00,,,,25.00,46.69,250.00,0.00,,,,185.45,185.45,SDS
13,12-03-22,1169.31,,573.74,29.07,70.12,61.21,,,,435.17,,,,,,,25.00,,,,25.00,70.17,340.00,0.00,,,,125.50,125.50,SDS
13,13-03-22,1203.80,,510.03,98.64,36.26,39.85,,,,519.02,,,,,,,25.00,,,,25.00,494.02,,0.00,,,,322.65,322.65,SDS
13,14-03-22,374.76,,135.98,20.71,9.85,,,,,208.22,,,,,,,30.00,,,,30.00,178.22,,0.00,,,,7.60,7.60,SDS
13,15-03-22,388.48,,146.99,10.35,,,,,,231.14,,,80.00,,,,20.00,,,,100.00,131.14,,0.00,,,,7.80,7.80,SDS
13,16-03-22,410.99,,177.39,11.31,50.83,,,,,171.46,,,,,,,25.00,,,,25.00,146.46,,0.00,,,,31.20,31.20,SDS
13,17-03-22,552.94,,204.31,32.24,,22.26,,,,294.13,8.33,,,,,,25.00,,,,33.33,260.80,,0.00,,,,23.40,23.40,SDS
13,18-03-22,823.07,,372.99,19.70,22.28,16.80,,,,391.30,,,,,,,20.00,,,,20.00,371.30,,0.00,,,,48.80,48.80,SDS
13,19-03-22,1098.45,,525.00,110.97,30.68,26.80,,,,405.00,,,,380.00,,,25.00,,,,405.00,,,0.00,,,,86.00,86.00,SDS
13,20-03-22,1198.56,,530.25,171.75,42.77,,,,,453.79,,,,428.79,,,25.00,,,,453.79,,,0.00,,,,92.80,92.80,SDS
10,11-03-22,462.26,21.50,160.78,,17.29,,,,,262.69,15.00,,,,,,6.00,,,,21.00,241.69,,0.00,,,,6.80,6.80,SDS
10,12-03-22,764.17,,317.29,44.62,5.48,5.48,,,,391.31,12.16,,,,,,6.00,,,,18.16,373.14,,0.00,11.25,,106.90,,118.15,SDS
10,13-03-22,1028.60,,307.29,107.16,47.10,,,,,567.05,,,40.00,,,,6.00,,,,46.00,521.05,,0.00,,,100.20,,100.20,SDS
10,14-03-22,228.05,,21.84,,18.55,,,,,187.66,,,,,,,6.00,,,,6.00,181.66,,0.00,,,,,0.00,SDS
10,15-03-22,219.03,,35.10,,,,,,,,,,,,,,6.00,,,3.70,,174.23,,,,,,20.40,,SDS
10,16-03-22,372.69,,159.73,31.02,,,,,,181.94,3.42,40.00,,,,,6.00,,,,49.42,132.52,,0.00,,,,,0.00,SDS
10,17-03-22,262.43,,41.64,15.34,27.77,,,,,177.68,,,,,,,6.00,,,40.00,46.00,131.68,,0.00,,,21.40,47.80,69.20,SDS
10,18-03-22,345.10,,118.84,25.20,5.48,,,,,195.58,12.77,,,,,,6.00,,,,18.77,176.81,,0.00,,,,45.80,45.80,SDS
10,19-03-22,748.38,,173.77,45.39,10.35,,,,,518.87,7.86,,,505.01,,,6.00,,,,518.87,,,0.00,,,,101.20,101.20,SDS
10,20-03-22,932.77,,343.17,69.19,38.15,,,,,482.26,,,40.00,23.00,,,8.00,,,,71.00,411.26,,0.00,,,,109.00,109.00,SDS
11,11-03-22,1097.34,,554.03,17.24,34.88,121.20,,,,369.99,15.49,,,,20.00,,22.00,,,,57.49,312.50,,0.00,,34.85,,184.80,219.65,SDS
11,12-03-22,2017.19,,1290.70,125.23,77.20,,,,,524.06,,,,,,,37.00,,,,37.00,487.06,,0.00,,,,238.30,238.30,SDS
11,13-03-22,1946.38,,991.81,149.63,50.29,89.60,,,,665.05,,,,,10.00,,32.00,,,,42.00,623.05,,0.00,,,,401.90,401.90,SDS
11,14-03-22,574.69,,272.21,,,71.28,,,,231.20,8.98,,,,20.00,,18.00,,,80.00,126.98,104.22,,0.00,,,,7.80,7.80,SDS
11,15-03-22,1107.66,,553.98,36.96,37.39,32.56,,,,446.77,9.07,,,,20.00,,17.00,,,,46.07,400.70,,0.00,,,,172.20,172.20,SDS
11,16-03-22,741.57,,423.13,18.31,,59.32,,,,240.81,,,,,10.00,,17.00,,,,27.00,213.81,,0.00,,,,31.20,31.20,SDS
11,17-03-22,933.91,,388.53,59.74,26.78,34.71,,,,424.15,,,,,,,17.00,,,,17.00,407.15,,0.00,,,,23.40,23.40,SDS
